patient_id,ho_ten,cccd,ngay_sinh,so_dien_thoai,email,dia_chi,benh,ket_qua_xet_nghiem,bac_si_phu_trach,ngay_kham
bdd640fb-0667-4ad1-9c80-317fa3b1799d,Chị Lan Phạm,664468958436,08/05/1954,0357155939,jane67@example.net,"6 Bùi Đường, JohnXã, 683680",Tiểu đường,4.16,Quý ông Vũ Phạm,31/01/2026
562b0f79-c374-49ee-b50b-ea63371ecd7b,Quý cô An Phạm,204836371323,09/07/1948,0906587216,jane93@example.com,"373 Dương Tổ, Thành phố JohnHuyện, 144127",Tiểu đường,11.41,Trung Đức Lê,20/01/2026
a2bc372f-7412-4293-8729-4739614ff3d7,Ông Trọng Phạm,568263300923,15/11/1963,0301304063,janetran@example.com,"80 Nguyễn Dãy, JohnPhường, 105624",Huyết áp cao,7.21,Cô Kim Vũ,03/03/2026
654821d0-7fcd-4eb1-a7ca-d415366eb16f,Kim Thế Bùi,531891802001,03/12/1968,0963609140,maijane@example.net,"00 Jane Đường, Quận JohnHuyện, 518121",Huyết áp cao,10.92,Châu Phạm,18/02/2026
f143262f-dc5c-4eed-8da0-365bf89897b9,Lâm Xuân Phạm,916725215732,03/09/1971,0925600920,hoangjane@example.net,"1 Vũ Tổ, Huyện JohnThành phố, 285419",Tiểu đường,5.5,Hoàng Phạm,05/04/2026
5cec4eb5-edd9-4831-9ca3-5cfb04fc6d82,Hồng Hoàng,073534502729,21/02/1968,0783015585,janebui@example.net,"4 Phạm Đường, Thành phố JaneThành phố, 215299",Tim mạch,10.24,Chị An Vũ,27/03/2026
1efa2197-7394-488f-847f-d9b4e64d1bcb,Quang Phú Dương,829938490532,22/03/1938,0885152744,janebui@example.org,"893 Jane Làng, JanePhường, 344601",Tiểu đường,7.89,Khoa Đức Nguyễn,06/02/2026
6e595ed3-a8b3-47fa-98d0-752b1825bc54,Bảo Tấn Trần,274728091921,24/09/1942,0352304943,nguyenjane@example.org,"764 John Khu, Thành phố JohnPhường, 524989",Tim mạch,11.49,Bà Phương Trần,03/01/2026
c0e9ab30-ed26-42e9-97e0-11b7f8102383,Vân Vũ,347656524763,14/11/2000,0897921272,john38@example.net,"JohnThành phố, 34 Lê Dãy, 890314",Huyết áp cao,4.72,Anh Quang Bùi,12/01/2026
80bacd64-7a0e-4fea-958c-a9ba0cd620c2,Quý cô Chi Vũ,230922883543,25/08/1960,0886979787,janepham@example.org,"909 Vũ Tổ, JaneHuyện, 742784",Huyết áp cao,9.28,Chị Lan Vũ,26/01/2026
750cab75-4ccc-4bc2-a53f-8a28abf3e3fc,Bà Lâm Hoàng,062148048165,19/12/1948,0757030204,john29@example.net,"49 Đặng Đường, JohnThị xã, 390819",Tiểu đường,11.9,An Bảo Phạm,31/01/2026
35ebd32d-9ad6-40ab-8821-2ddb45b89cd9,Hạnh Vũ,906928508522,06/11/2001,0577969299,john46@example.net,"98 Jane Khu, Huyện JohnHuyện, 708224",Huyết áp cao,7.06,Bảo Quang Phạm,25/01/2026
e623a689-5d59-4d2a-8eea-04e70ab54bde,Bà Hải Hoàng,662543723147,13/12/1963,0987178146,tle@example.org,"38 Jane Đường, Huyện JaneXã, 937336",Huyết áp cao,9.68,Nhật Đức Nguyễn,31/01/2026
61ee411a-1bac-47a7-b386-f7a4c991603f,Quý cô Ngọc Phạm,120087035452,19/08/1965,0809360052,johnduong@example.net,"376 Mai Dãy, JohnQuận, 218051",Tiểu đường,9.9,Quý cô Vân Dương,23/01/2026
2db69edb-42de-4fcc-b86c-2ca2e08596db,Chị Kim Bùi,047744721241,03/07/1994,0344088506,lejohn@example.org,"29 Dương Khu, JohnQuận, 502311",Tim mạch,7.65,Nam Trần,02/03/2026
6703b636-5380-4904-a88c-7015aab97e49,Hưng Mai,981086040271,20/06/1961,0389552227,buijohn@example.com,"409 Jane Tổ, Thị xã JohnThị xã, 618432",Tiểu đường,5.81,Nhật Phạm,02/02/2026
83f4a9a9-48a6-49d0-95b5-2908a8aa7158,Dũng Nguyễn,205016719334,06/12/1965,0811684155,ele@example.com,"3 Nguyễn Đường, JohnHuyện, 409801",Tim mạch,4.47,Chị Lâm Phạm,12/02/2026
b227462c-f53d-4330-8dda-24ba2d06e8cf,Phương Phạm,976676347762,16/11/1951,0353554203,jane78@example.net,"3 John Đường, JanePhường, 466523",Tiểu đường,8.26,Quang Hữu Hoàng,05/04/2026
709b7d97-464c-44af-bd3f-3799a07295e9,Thành Lê,872889897428,10/04/1967,0968852091,jane98@example.org,"98 Vũ Làng, Huyện JohnXã, 256411",Huyết áp cao,6.86,Bác Nam Mai,04/01/2026
9360715f-c3fe-4183-a172-b725db52ca58,Tú Thế Dương,457780902948,01/01/1976,0382511336,dangjohn@example.com,"685 John Ngõ, Thành phố JaneQuận, 988815",Khỏe mạnh,11.98,Cô Vân Dương,25/01/2026
06e745f9-88bc-439c-9f4c-3b79fb10987f,Bà Linh Đặng,784592999834,10/09/1993,0839780654,jane14@example.net,"97 Jane Dãy, JaneThành phố, 712179",Khỏe mạnh,10.08,Cô Hạnh Dương,07/05/2026
a6d964a3-f510-4b53-87fe-e39f1190f938,Ánh Lê,030028263908,05/01/1969,0331771695,tranjane@example.org,"47 Dương Ngõ, Huyện JaneXã, 555410",Huyết áp cao,11.91,Ông Minh Vũ,21/01/2026
4fdc6e1b-edcb-4cb6-8692-dc639424aed5,Quý cô Duyên Vũ,976991761163,30/05/1968,0834551001,zpham@example.com,"847 Jane Ngõ, JohnQuận, 216833",Tim mạch,8.81,Duyên Phạm,04/02/2026
a6846099-f729-4951-8591-31d2bbda0242,Tú Thế Mai,495632092107,28/02/2001,0531826958,lejane@example.org,"71 Hoàng Đường, JohnQuận, 328605",Tiểu đường,11.43,Cô Hải Vũ,10/03/2026
4797b2c9-5720-4246-8223-623bcc3ebdde,Vũ Phú Vũ,734485601409,02/09/2005,0309906892,shoang@example.net,"863 Jane Ngõ, JanePhường, 753900",Tim mạch,5.17,Nam Mai Hoàng,13/03/2026
58007c02-87ea-4ff5-8db0-674679279973,Ông Trọng Nguyễn,135869767755,10/02/1997,0720347820,apham@example.org,"4 Jane Tổ, Quận JohnQuận, 112768",Huyết áp cao,9.99,An Dương,03/01/2026
4639447b-2067-4dac-88bd-13d1b540b30e,Quý cô Ánh Phạm,234945364304,13/02/1975,0522632219,jane35@example.com,"00 John Dãy, JohnXã, 766638",Tiểu đường,6.66,Bảo Đức Phạm,30/01/2026
